scenario_version,policy_grid_version,detector_set_version,scenario_id,detector_id,policy_id,seed,A,H,loss,loss_p90_term,contain_frac,breach_frac,false_alerts
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,31,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,32,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,33,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,34,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,35,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,36,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,37,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,38,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,39,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,0,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,1,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,2,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,3,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,4,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,5,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,6,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,7,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,8,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,9,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,10,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,11,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,12,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,13,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,14,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,15,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,16,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,17,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,18,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,19,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,20,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,21,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,22,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,23,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.75,24,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
